,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloor,Price,Rooms,Totsp,Walk
183,1,0,1.2400738467413062,15,2.2823823856765264,2.9601050959108397,10.0,0,16.0,9500000,1.0,3.6189933266497696,1.0
184,1,0,1.4484766093552577,4,1.8082887711792655,3.4011973816621555,8.0,0,9.0,9500000,2.0,3.8066624897703196,1.0
187,1,0,1.5813687458222154,7,2.2512917986064953,3.367295829986474,8.0,0,12.0,9550000,2.0,3.912023005428146,1.0
189,1,1,0.9381640298419415,1,1.8082887711792655,3.2228678461377385,11.0,0,8.0,9600000,2.0,3.713572066704308,1.0
190,1,1,1.7084564193316063,1,1.9459101490553132,3.4011973816621555,11.0,0,14.0,9690000,2.0,3.912023005428146,1.0
191,1,0,1.1543887387015677,3,1.791759469228055,3.4657359027997265,11.0,0,17.0,9700000,2.0,3.6375861597263857,1.0
192,1,0,1.3386227837658964,2,2.0014800002101243,3.367295829986474,7.0,0,12.0,9700000,2.0,3.858622228701031,1.0
193,1,1,1.5118348006916589,5,2.6390573296152584,2.9444389791664403,7.0,0,7.0,9700000,1.0,3.594568774642695,1.0
194,1,1,1.2293946921615573,1,1.7047480922384253,3.5263605246161616,7.0,0,5.0,9700000,2.0,3.7612001156935624,1.0
195,1,0,0.9292372989456188,12,2.302585092994046,2.9444389791664403,8.0,0,16.0,9750000,1.0,3.634951112088381,1.0
196,1,0,0.7445385530298384,5,2.4849066497880004,4.532599493153256,5.0,0,8.0,70000000,4.0,4.787491742782046,1.0
197,1,1,1.0117525687446776,7,2.302585092994046,3.6109179126442243,7.0,0,9.0,29500000,2.0,4.143134726391533,1.0
200,1,1,1.4001018193295671,35,2.70805020110221,3.1780538303479458,11.0,1,44.0,9784800,1.0,3.8133070324889884,1.0
201,1,0,1.3564538223420979,3,2.1041341542702074,3.0301337002713233,7.0,0,12.0,9800000,1.0,3.6838669122903918,1.0
202,1,0,1.4564260130155187,6,2.451005098112319,3.339321977944068,5.0,0,16.0,9800000,2.0,3.9815490680767565,1.0
203,1,0,1.4620474479284613,3,2.302585092994046,3.4339872044851463,3.0,0,12.0,9800000,2.0,3.9357395320454622,1.0
204,0,1,1.826399264971521,2,2.1972245773362196,3.5553480614894135,1.0,0,6.0,9800000,2.0,3.9889840465642745,1.0
205,1,1,0.9327797358466396,2,2.302585092994046,2.8903717578961645,11.0,0,5.0,9880000,1.0,3.6635616461296463,1.0
207,1,1,1.3274249432028495,4,1.791759469228055,3.295836866004329,3.0,0,9.0,9890000,2.0,3.5553480614894135,1.0
208,1,1,0.9963997967269425,1,1.9459101490553132,3.4657359027997265,15.0,0,9.0,9900000,2.0,3.7977338590260183,1.0
209,1,1,0.9914368019241518,6,1.791759469228055,3.091042453358316,10.0,0,9.0,9900000,2.0,3.6375861597263857,1.0
211,1,1,1.4001018193295671,7,2.4069451083182885,3.044522437723423,11.0,1,44.0,9908775,1.0,3.744787086052232,1.0
213,1,1,0.9215118632898531,1,1.6094379124341003,3.295836866004329,10.0,0,8.0,9950000,2.0,3.6888794541139363,1.0
214,1,1,0.5739158311619383,3,1.791759469228055,2.9856819377004897,5.0,0,9.0,9950000,1.0,3.4011973816621555,1.0
216,1,0,1.3583341285827015,10,1.791759469228055,3.367295829986474,7.0,0,12.0,9990000,2.0,3.8501476017100584,1.0
217,1,0,1.1318798948364202,9,1.791759469228055,3.1570004211501135,13.0,0,14.0,9990000,2.0,3.7013019741124933,1.0
218,1,0,1.22944242229829,6,2.0149030205422647,3.1570004211501135,8.0,0,9.0,9999000,2.0,3.6375861597263857,1.0
219,1,1,1.3192077918525187,2,2.302585092994046,2.8903717578961645,10.0,0,9.0,9999900,1.0,3.6375861597263857,0.0
220,1,0,1.404990558022527,5,2.2823823856765264,2.9231615807191558,7.0,0,17.0,10000000,1.0,3.6506582412937387,1.0
221,1,0,1.0822189114433827,3,1.791759469228055,3.4011973816621555,5.0,0,12.0,10000000,2.0,3.8066624897703196,1.0
223,1,1,1.185813658665179,6,2.302585092994046,2.8903717578961645,5.0,0,9.0,9999999,1.0,3.6109179126442243,1.0
224,1,1,1.4577610406779726,12,2.4595888418037104,4.511957804265912,9.0,0,18.0,76080000,4.0,5.065754593317335,1.0
