,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
63,0,1,4.049282264729725,0,3,,http://www.cian.ru/sale/flat/150118457/,33.6,5.0,63,0,6.0,7364556,1,0.0,33.6,1.0
64,1,0,3.866767728550408,0,12,,http://www.cian.ru/sale/flat/152034926/,21.0,9.0,64,0,12.0,7399000,1,,35.5,1.0
65,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031262/,27.6,6.0,65,1,,7411462,1,,27.6,1.0
66,1,1,6.308505117810789,0,4,6.0,http://www.cian.ru/sale/flat/149846743/,28.0,5.0,66,0,5.0,7500000,2,1.0,42.0,0.0
67,1,1,4.256902701256792,0,6,5.0,http://www.cian.ru/sale/flat/150436616/,19.3,14.0,67,0,8.0,7500000,1,1.0,33.8,1.0
68,0,0,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/149031388/,33.0,6.0,68,1,,7584028,1,,33.0,1.0
69,1,0,2.717039740533024,0,2,5.0,http://www.cian.ru/sale/flat/152131846/,17.0,5.0,69,0,14.0,7600000,1,,30.0,1.0
70,1,1,3.9927892204120785,0,5,6.5,http://www.cian.ru/sale/flat/150977411/,30.0,8.0,70,0,5.0,7600000,2,1.0,45.0,1.0
71,0,0,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/149031387/,33.4,6.0,71,1,,7687509,1,,33.4,1.0
72,0,1,4.049282264729725,0,2,47.1,http://www.cian.ru/sale/flat/151120564/,,5.0,72,1,4.0,7757670,2,,47.1,1.0
73,1,1,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/151005178/,18.0,6.0,73,1,4.0,7764334,1,,32.2,1.0
74,1,0,3.7427538486048855,0,3,6.0,http://www.cian.ru/sale/flat/146275883/,21.0,4.0,74,0,5.0,7800000,1,,32.0,1.0
75,1,1,4.926471251506432,0,5,8.2,http://www.cian.ru/sale/flat/148677909/,17.0,13.0,75,0,14.0,7800000,1,,38.5,1.0
76,1,0,6.057014309627777,0,2,8.0,http://www.cian.ru/sale/flat/152139645/,18.0,14.0,76,0,14.0,7800000,1,1.0,38.0,1.0
77,0,0,4.075651203998337,0,1,,http://www.cian.ru/sale/flat/149031234/,28.0,6.0,77,1,,7832509,1,,28.0,1.0
78,1,1,4.059767192417162,0,2,,http://www.cian.ru/sale/flat/150833977/,,9.0,78,1,4.0,7835990,1,,34.0,1.0
79,0,0,4.075651203998337,0,3,,http://www.cian.ru/sale/flat/149031278/,34.9,6.0,79,1,,7838741,1,,34.9,1.0
80,1,1,2.117195047059797,0,3,4.0,http://www.cian.ru/sale/flat/151974816/,15.0,4.0,80,0,5.0,7850000,1,,24.0,1.0
81,1,1,4.661902619182357,0,5,5.6,http://www.cian.ru/sale/flat/150405030/,29.2,7.0,81,0,5.0,7850000,2,,43.4,1.0
82,1,0,2.72251022635588,0,7,5.1,http://www.cian.ru/sale/flat/151483562/,21.5,8.0,82,0,9.0,7850000,1,0.0,31.7,1.0
83,1,0,2.72251022635588,0,7,5.1,http://www.cian.ru/sale/flat/151747501/,21.5,7.0,83,0,9.0,7850000,1,0.0,31.7,1.0
84,1,1,4.159343142621809,0,5,18.0,http://www.cian.ru/sale/flat/149812288/,103.3,5.0,84,0,11.0,119000000,5,0.0,162.2,1.0
85,1,1,3.1713000538770015,0,2,16.0,http://www.cian.ru/sale/flat/142814907/,55.0,4.0,85,0,11.0,48227922,2,1.0,71.0,1.0
86,1,1,4.059767192417162,0,3,,http://www.cian.ru/sale/flat/150911315/,,9.0,86,1,6.0,8628726,2,,50.0,1.0
87,1,1,5.176094024858456,0,1,9.5,http://www.cian.ru/sale/flat/34007104/,36.0,18.0,87,0,5.0,7900000,2,1.0,57.0,1.0
88,0,0,3.192340484027303,0,1,9.0,http://www.cian.ru/sale/flat/151919518/,19.0,7.0,88,0,12.0,7900000,1,1.0,34.0,0.0
89,1,1,4.059767192417162,0,3,,http://www.cian.ru/sale/flat/150833993/,,9.0,89,1,6.0,7943557,1,,32.2,1.0
90,1,0,3.802050032217053,0,8,8.0,http://www.cian.ru/sale/flat/151915430/,22.7,4.0,90,0,9.0,8000000,2,1.0,36.8,1.0
91,1,0,3.122179699626707,0,2,6.0,http://www.cian.ru/sale/flat/36436709/,21.5,3.0,91,0,9.0,8000000,1,,32.2,1.0
92,0,1,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/147872339/,29.0,5.0,92,0,6.0,8021155,1,0.0,29.0,1.0
93,1,1,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/151005822/,30.0,6.0,93,1,5.0,8081363,2,,55.2,1.0
94,1,1,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/151005668/,25.0,6.0,94,1,5.0,8081363,1,,55.2,1.0
95,1,0,4.181615927994614,0,7,5.6,http://www.cian.ru/sale/flat/147398175/,32.3,7.0,95,0,9.0,8100000,2,1.0,44.6,1.0
96,1,0,5.538867305542204,0,1,12.0,http://www.cian.ru/sale/flat/150923798/,37.0,18.0,96,0,12.0,8100000,2,,52.0,1.0
97,0,0,4.075160762965311,0,2,9.0,http://www.cian.ru/sale/flat/151469003/,15.0,7.0,97,0,17.0,8100000,1,1.0,35.0,1.0
98,1,1,4.48204756718982,0,2,6.0,http://www.cian.ru/sale/flat/151241691/,26.0,5.0,98,0,8.0,8100000,2,,40.0,0.0
99,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031339/,39.8,6.0,99,1,,8112552,1,,39.8,1.0
100,1,1,4.106200426363245,0,8,,http://www.cian.ru/sale/flat/151794629/,23.4,,100,1,19.0,8148000,2,,42.0,
101,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031334/,40.8,6.0,101,1,,8168388,1,,40.8,1.0
102,1,0,4.006009124620543,0,2,,http://www.cian.ru/sale/flat/151922851/,,7.0,102,0,,8200000,1,,42.0,1.0
103,0,0,4.075651203998337,0,5,,http://www.cian.ru/sale/flat/149031312/,30.6,6.0,103,1,,8230204,1,,30.6,1.0
104,0,0,2.3755120670581413,0,1,7.0,http://www.cian.ru/sale/flat/151824825/,17.2,8.0,104,0,12.0,8400000,1,0.0,31.1,1.0
105,1,1,3.567937310641999,0,9,5.1,http://www.cian.ru/sale/flat/50540787/,19.0,6.0,105,0,9.0,8400000,1,1.0,32.0,1.0
106,0,1,4.049282264729725,0,2,,http://www.cian.ru/sale/flat/152131204/,39.8,5.0,106,0,6.0,8437054,1,0.0,39.8,1.0
107,1,1,4.50433473582243,0,3,11.0,http://www.cian.ru/sale/flat/143835435/,17.0,5.0,107,0,25.0,8490000,1,,37.0,1.0
108,0,0,4.118030654321881,0,1,8.8,http://www.cian.ru/sale/flat/151964454/,32.0,3.0,108,0,12.0,8499000,2,1.0,47.1,1.0
109,1,0,2.916982512984026,0,4,9.0,http://www.cian.ru/sale/flat/149922809/,34.0,3.0,109,0,6.0,8500000,2,,53.5,1.0
110,1,1,4.341375534638873,0,1,10.0,http://www.cian.ru/sale/flat/151019103/,23.0,3.0,110,0,3.0,8500000,1,1.0,39.0,1.0
111,1,1,2.3505626847845478,0,1,6.2,http://www.cian.ru/sale/flat/151815848/,17.0,10.0,111,0,5.0,8500000,1,1.0,30.2,1.0
112,1,1,4.198036327568107,0,5,17.0,http://www.cian.ru/sale/flat/151522387/,63.0,12.0,112,0,17.0,85000000,3,,120.0,1.0
113,1,1,4.02597306166257,0,3,,http://www.cian.ru/sale/flat/151359774/,80.4,8.0,113,0,10.0,24398960,1,0.0,90.4,1.0
114,1,1,3.4543351620049028,0,3,23.0,http://www.cian.ru/sale/flat/151557933/,53.0,9.0,114,0,14.0,44900000,2,0.0,76.0,1.0
115,1,1,4.289345003202994,0,5,7.0,http://www.cian.ru/sale/flat/152118052/,24.0,13.0,115,0,14.0,8500000,2,,39.0,1.0
116,0,0,4.075651203998337,0,2,,http://www.cian.ru/sale/flat/149031256/,34.4,6.0,116,1,,8501908,1,,34.4,1.0
117,0,0,4.075651203998337,0,4,,http://www.cian.ru/sale/flat/149031386/,37.0,6.0,117,1,,8513060,1,,37.0,1.0
